station_id,station_num,station_name,gu,address,lat,lon,monthly_usage,total_rent,total_return,rent_202507,rent_202508,rent_202509,rent_202510,rent_202511
ST-3003,3003,3003.래미안신공덕3차아파트,마포구,서울특별시 성동구 성동구 아차산로 144 ,37.543324,127.059715,139.2,696,328,100,137,172,125,162
ST-1453,1453,1453. 중랑캠핑숲,중랑구,서울특별시 중랑구 봉화산로 130 신내 쌍용아파트,37.6036,127.089561,139.2,696,667,136,141,162,138,119
ST-2093,2093,2093.상도SH빌아파트 입구,동작구,서울특별시 도봉구 도봉로 724 ,37.668983,127.043762,135.6,678,113,11,161,148,162,196
ST-1572,1572,1572. 우이동 먹거리마을,강북구,서울특별시 강남구 일원로 45 래미안루체하임 아파트 입구 (중동중학교 입구),37.489792,127.081223,132,660,515,148,132,141,128,111
ST-2809,2809,2809.항동지구 11단지 1103동 앞,구로구,서울특별시 영등포구 영등포구 가마산로 426 ,37.505455,126.906265,131.8,659,877,62,127,171,157,142
ST-3418,3418,3418.창신역2번 출구,종로구,서울특별시 강서구 강서로 532 동신아파트.대아아파트 강서구 강서로 532,37.57341,126.843452,130,650,504,146,135,149,124,96
ST-969,969,969. 은평 지웰테라스,은평구,서울특별시 서초구 방배천로 54 방배경찰서 민원봉사실 앞,37.481293,126.982483,126.4,632,565,121,148,160,107,96
ST-447,447,447. 신영동삼거리,종로구,서울특별시 성동구 마장로42길 14 마장동 주민센터,37.565941,127.045395,125.8,629,579,109,121,144,151,104
ST-966,966,966. 서울혁신파크1,은평구,서울특별시 강남구 언주로 427 디오빌역삼 ,37.501663,127.042976,124.4,622,630,138,109,128,134,113
ST-3404,3404,3404.서울특별시 중부교육지원청,종로구,서울특별시 영등포구 영등포로 150 생각공장 당산 ,37.520802,126.898308,123.2,616,616,141,120,141,115,99
ST-1855,1855,1855. 성지아파트 옆 도로변,금천구,서울특별시 송파구 문정동 55-13 ,37.486698,127.122444,122.8,614,711,112,142,127,123,110
ST-1971,1971,1971. 오정초교 앞 보도육교,구로구,서울특별시 영등포구 여의서로 60-2 가로판매대22 ,37.531792,126.922455,122.2,611,481,135,113,142,133,88
ST-486,486,486. 평창동주민센터 앞,종로구,서울특별시 강동구 올림픽로 714 가로판매대-12 ,37.545265,127.125938,119.2,596,325,105,136,133,103,119
ST-2805,2805,2805.구로자원순환센터 ,구로구,서울특별시 중구 다산로96 ,37.552814,127.009193,115.4,577,449,112,115,130,98,122
ST-2096,2096,2096.서울특별시 동작관악교육지원청,동작구,서울특별시 도봉구 해등로12길 44 주공2단지아파트 ,37.652123,127.041702,111.4,557,182,153,83,117,96,108
ST-2506,2506,2506. LG유플러스 (방배사옥),서초구,서울특별시 동대문구 망우로 114 ,37.590874,127.065361,111.2,556,268,118,155,109,98,76
ST-1550,1550,1550.삼각산아이원아파트(105동 옆),강북구,서울특별시 관악구 호암로 519 신림벽산블루밍,37.464001,126.931252,111.2,556,34,186,98,88,68,116
ST-1969,1969,1969. 궁동생태공원,구로구,서울특별시 영등포구 여의도동 8-1 ,37.528637,126.912674,111.2,556,627,112,108,119,111,106
ST-968,968,968. 은평뉴타운 상림마을 13단지,은평구,서울특별시 마포구 성산동 661 ,37.568977,126.894402,111,555,487,141,143,116,71,84
ST-2541,2541,2541.옛골 입구,서초구,서울특별시 광진구 광진구 능동 463-1 ,37.547649,127.074707,108.2,541,123,105,110,123,112,91
ST-2284,2284,2284. CJ오쇼핑앞,서초구,서울특별시 중랑구 면목로 238 중랑구민회관 ,37.574078,127.085007,106.3,319,127,43,0,0,98,178
ST-564,564,564. 금호역 3번출구,성동구,서울특별시 성북구 화랑로 6 ,37.60302,127.033295,103.2,516,365,144,127,82,79,84
ST-945,945,945. 기자촌 사거리 A,은평구,서울특별시 중구 만리재로 211 서울역 서부교차로,37.556965,126.96859,103.2,516,295,121,103,112,108,72
ST-937,937,937. 상림마을 롯데캐슬2단지 옆,은평구,서울특별시 강남구 광평로 144 청소년 수련관 수영장 앞,37.483879,127.089027,101.8,509,595,94,96,113,133,73
ST-2392,2392,2392. 구룡산 입구 (구룡산 서울둘레길 입구),강남구,서울특별시 관악구 신림로 97 밀라트 ,37.470459,126.93866,98.6,493,249,82,69,139,80,123
ST-991,991,991.흥국사 정류장,은평구,서울특별시 마포구 성암로330 DMC첨단산업센터,37.584503,126.885597,97.6,488,477,68,114,100,123,83
ST-2810,2810,2810.항동지구 3단지 311동 앞,구로구,서울특별시 영등포구 영등포구 신길동 42-7 ,37.517563,126.916985,95,475,614,75,56,105,121,118
ST-2508,2508,2508. 양재이스타빌 앞,서초구,서울특별시 동대문구 청계천로 471 ,37.570148,127.029922,93,93,134,93,0,0,0,0
ST-381,381,381. 장충체육관,중구,서울특별시 광진구 강변역로 17 구의3동주민센터,37.537849,127.092171,92.2,461,379,112,94,86,95,74
